Time,Channel A,Channel B
(us),(V),(V)

-0.19270593,1.10989800,0.00000000
-0.19070593,1.15418900,0.00000000
-0.18870593,1.10989800,0.00000000
-0.18670593,1.15418900,-0.04398376
-0.18470593,1.10989800,0.00000000
-0.18270593,1.10989800,0.00000000
-0.18070593,1.15418900,0.00000000
-0.17870593,1.10989800,-0.04398376
-0.17670593,1.15418900,0.00000000
-0.17470593,1.10989800,0.00000000
-0.17270593,1.15418900,0.00000000
-0.17070593,1.15418900,0.00000000
-0.16870593,1.15418900,0.00000000
-0.16670593,1.10989800,0.00000000
-0.16470593,1.10989800,0.00000000
-0.16270593,1.10989800,0.00000000
-0.16070593,1.10989800,0.00000000
-0.15870593,1.10989800,-0.04398376
-0.15670593,1.10989800,0.00000000
-0.15470593,1.10989800,0.00000000
-0.15270593,1.10989800,0.00000000
-0.15070593,1.10989800,0.00000000
-0.14870593,1.10989800,0.00000000
-0.14670593,1.10989800,0.00000000
-0.14470594,1.10989800,0.00000000
-0.14270594,1.15418900,0.00000000
-0.14070594,1.10989800,0.00000000
-0.13870594,1.10989800,0.00000000
-0.13670594,1.10989800,0.00000000
-0.13470594,1.15418900,0.00000000
-0.13270594,1.10989800,0.00000000
-0.13070594,1.15418900,0.00000000
-0.12870594,1.10989800,-0.04398376
-0.12670594,1.15418900,-0.04398376
-0.12470594,1.10989800,0.00000000
-0.12270594,1.10989800,-0.04398376
-0.12070594,1.10989800,0.00000000
-0.11870594,1.10989800,-0.04398376
-0.11670594,1.10989800,0.04398376
-0.11470594,1.10989800,-0.04398376
-0.11270594,1.10989800,0.00000000
-0.11070594,1.10989800,0.00000000
-0.10870594,1.10989800,0.00000000
-0.10670594,1.10989800,0.00000000
-0.10470594,1.10989800,0.00000000
-0.10270594,1.10989800,0.00000000
-0.10070594,1.10989800,0.00000000
-0.09870594,1.10989800,0.00000000
-0.09670594,1.10989800,0.00000000
-0.09470594,1.10989800,0.00000000
-0.09270594,1.15418900,-0.04398376
-0.09070594,1.15418900,0.00000000
-0.08870594,1.10989800,0.00000000
-0.08670594,1.15418900,-0.04398376
-0.08470594,1.15418900,0.00000000
-0.08270594,1.10989800,0.00000000
-0.08070594,1.10989800,0.00000000
-0.07870594,1.15418900,0.00000000
-0.07670594,1.10989800,0.00000000
-0.07470594,1.10989800,-0.04398376
-0.07270594,1.15418900,-0.04398376
-0.07070594,1.10989800,0.00000000
-0.06870594,1.10989800,0.00000000
-0.06670594,1.10989800,-0.04398376
-0.06470594,1.15418900,0.00000000
-0.06270594,1.10989800,0.00000000
-0.06070594,1.10989800,0.00000000
-0.05870594,1.10989800,0.00000000
-0.05670594,1.15418900,0.00000000
-0.05470594,1.10989800,0.00000000
-0.05270594,1.10989800,0.00000000
-0.05070594,1.15418900,0.00000000
-0.04870594,1.10989800,0.00000000
-0.04670594,1.10989800,0.00000000
-0.04470594,1.10989800,0.00000000
-0.04270594,1.10989800,0.00000000
-0.04070594,1.10989800,0.00000000
-0.03870594,1.10989800,0.00000000
-0.03670594,1.15418900,0.00000000
-0.03470594,1.10989800,0.00000000
-0.03270594,1.15418900,0.00000000
-0.03070594,1.10989800,0.04398376
-0.02870594,1.10989800,0.00000000
-0.02670594,1.10989800,0.00000000
-0.02470594,1.10989800,0.00000000
-0.02270594,1.10989800,0.00000000
-0.02070594,1.10989800,0.00000000
-0.01870594,1.10989800,0.00000000
-0.01670594,1.15418900,0.00000000
-0.01470594,1.10989800,-0.04398376
-0.01270594,1.15418900,0.00000000
-0.01070594,1.10989800,0.00000000
-0.00870594,1.15418900,0.00000000
-0.00670594,1.10989800,-0.04398376
-0.00470594,1.10989800,0.00000000
-0.00270594,1.10989800,0.30819390
-0.00070594,1.10989800,1.18909900
0.00129406,1.10989800,1.93774600
0.00329406,1.02100800,2.15797200
0.00529406,0.93227120,2.15797200
0.00729406,0.93227120,2.55444100
0.00929406,1.02100800,3.03887800
0.01129406,1.19863400,3.12699900
0.01329406,1.33181600,3.08286200
0.01529406,1.37626100,3.12699900
0.01729406,1.37626100,3.25910400
0.01929406,1.24307900,3.25910400
0.02129406,1.10989800,3.21496700
0.02329406,0.97671630,3.17098300
0.02529406,0.93227120,3.21496700
0.02729406,0.93227120,3.21496700
0.02929406,1.06545300,3.21496700
0.03129406,1.15418900,3.17098300
0.03329406,1.28737100,3.21496700
0.03529406,1.28737100,3.21496700
0.03729406,1.24307900,3.21496700
0.03929406,1.15418900,3.21496700
0.04129406,1.06545300,3.17098300
0.04329406,1.02100800,3.17098300
0.04529406,1.02100800,3.17098300
0.04729406,1.06545300,3.17098300
0.04929406,1.15418900,3.21496700
0.05129406,1.37626100,3.21496700
0.05329406,1.55388800,3.25910400
0.05529406,1.46499800,3.21496700
